"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
MG,BANDEIRA,3105202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BARAO DE COCAIS,3105400,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BARAO DE MONTE ALTO,3105509,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BARBACENA,3105608,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BELMIRO BRAGA,3106101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BELO HORIZONTE,3106200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BELO VALE,3106408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BERTOPOLIS,3106606,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,BETIM,3106705,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BICAS,3106903,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,BIQUINHAS,3107000,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,BOA ESPERANCA,3107109,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BOM DESPACHO,3107406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BOM JESUS DA PENHA,3107604,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BOM JESUS DO AMPARO,3107703,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,BOM JESUS DO GALHO,3107802,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,BOM REPOUSO,3107901,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,BOM SUCESSO,3108008,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
MG,BONFIM,3108107,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BONFINOPOLIS DE MINAS,3108206,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,BONITO DE MINAS,3108255,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,BORDA DA MATA,3108305,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BOTELHOS,3108404,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,BRASILANDIA DE MINAS,3108552,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BRAUNAS,3108800,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BRAZOPOLIS,3108909,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,BRUMADINHO,3109006,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BUENO BRANDAO,3109105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,BUGRE,3109253,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,BURITIZEIRO,3109402,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
MG,CABECEIRA GRANDE,3109451,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CABO VERDE,3109501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CACHOEIRA DA PRATA,3109600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CACHOEIRA DE MINAS,3109709,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CACHOEIRA DE PAJEU,3102704,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,CAETANOPOLIS,3109907,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAETE,3110004,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAIANA,3110103,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,CAMACHO,3110400,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CAMANDUCAIA,3110509,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CAMBUI,3110608,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPANHA,3110905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPESTRE,3111002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPINA VERDE,3111101,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,CAMPO AZUL,3111150,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CAMPO BELO,3111200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPO DO MEIO,3111309,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPO FLORIDO,3111408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAMPOS ALTOS,3111507,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,CANAPOLIS,3111804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CANDEIAS,3112000,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAPARAO,3112109,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAPETINGA,3112406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAPINOPOLIS,3112604,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CAPITAO ANDRADE,3112653,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,CARAI,3113008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARANDAI,3113206,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARATINGA,3113404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARBONITA,3113503,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARLOS CHAGAS,3113701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARMO DA CACHOEIRA,3113909,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CARMO DE MINAS,3114105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARMO DO PARANAIBA,3114303,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARMO DO RIO CLARO,3114402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARNEIRINHO,3114550,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CARRANCAS,3114600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARVALHOPOLIS,3114709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CARVALHOS,3114808,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CASCALHO RICO,3115003,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CASSIA,3115102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CATAS ALTAS,3115359,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CATAS ALTAS DA NORUEGA,3115409,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CENTRALINA,3115805,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CHACARA,3115904,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,CHAPADA DO NORTE,3116100,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CHIADOR,3116209,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CLARAVAL,3116407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CLAUDIO,3116605,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,COLUNA,3116803,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,COMENDADOR GOMES,3116902,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,COMERCINHO,3117009,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONCEICAO DA BARRA DE MINAS,3115201,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONCEICAO DAS ALAGOAS,3117306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONCEICAO DAS PEDRAS,3117207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONCEICAO DE IPANEMA,3117405,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,CONCEICAO DOS OUROS,3117801,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONEGO MARINHO,3117836,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CONGONHAS,3118007,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,CONGONHAS DO NORTE,3118106,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CONQUISTA,3118205,"Não cumprimento do disposto no art. 14, § 1º, III e V da Lei nº 14113/2020"
MG,CONSELHEIRO LAFAIETE,3118304,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONSELHEIRO PENA,3118403,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CONTAGEM,3118601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CORACAO DE JESUS,3118809,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,CORINTO,3119104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,COROMANDEL,3119302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CORONEL MURTA,3119500,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CORONEL PACHECO,3119609,"Não cumprimento do disposto no art. 14, § 1º, I, II e III da Lei nº 14113/2020"
MG,CORREGO DANTA,3119807,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,CORREGO DO BOM JESUS,3119906,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CORREGO NOVO,3120003,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,COUTO DE MAGALHAES DE MINAS,3120102,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,CRISTIANO OTONI,3120409,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,CRUCILANDIA,3120607,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CRUZEIRO DA FORTALEZA,3120706,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CRUZILIA,3120805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,CUPARAQUE,3120839,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,CURVELO,3120904,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DELFIM MOREIRA,3121100,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DELFINOPOLIS,3121209,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DESCOBERTO,3121308,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,DESTERRO DE ENTRE RIOS,3121407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DIONISIO,3121803,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DIVINO,3122009,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,DIVINO DAS LARANJEIRAS,3122108,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,DIVINOLANDIA DE MINAS,3122207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DIVINOPOLIS,3122306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DIVISA ALEGRE,3122355,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,DIVISA NOVA,3122405,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DOM CAVATI,3122504,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,DOM VICOSO,3122801,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,DONA EUZEBIA,3122900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,DORES DE CAMPOS,3123007,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,DORES DO INDAIA,3123205,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,DORESOPOLIS,3123403,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,DOURADOQUARA,3123502,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,ELOI MENDES,3123601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ENGENHEIRO NAVARRO,3123809,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ENTRE FOLHAS,3123858,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ENTRE RIOS DE MINAS,3123908,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ERVALIA,3124005,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ESMERALDAS,3124104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ESPERA FELIZ,3124203,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ESTIVA,3124500,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ESTRELA DALVA,3124609,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ESTRELA DO SUL,3124807,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,EUGENOPOLIS,3124906,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,EWBANK DA CAMARA,3125002,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,EXTREMA,3125101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FARIA LEMOS,3125309,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,FELICIO DOS SANTOS,3125408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FELIXLANDIA,3125705,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,FERNANDES TOURINHO,3125804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FERROS,3125903,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,FERVEDOURO,3125952,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FORMIGA,3126109,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,FORMOSO,3126208,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,FORTUNA DE MINAS,3126406,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,FRANCISCO DUMONT,3126604,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,FREI GASPAR,3126802,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,FREI LAGONEGRO,3126950,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FRONTEIRA DOS VALES,3127057,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FRUTA DE LEITE,3127073,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FRUTAL,3127107,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,FUNILANDIA,3127206,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GALILEIA,3127305,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GOIABEIRA,3127370,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GOUVEIA,3127602,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GOVERNADOR VALADARES,3127701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GRUPIARA,3127909,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GUARACIABA,3128204,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUARACIAMA,3128253,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUARANESIA,3128303,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GUARANI,3128402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUARARA,3128501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUARDA-MOR,3128600,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,GUAXUPE,3128709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUIDOVAL,3128808,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,GUIRICEMA,3129004,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,GURINHATA,3129103,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,HELIODORA,3129202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,IBIA,3129509,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,IBIRACI,3129707,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,IBIRITE,3129806,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,IBITIURA DE MINAS,3129905,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,IBITURUNA,3130002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ICARAI DE MINAS,3130051,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,IGARAPE,3130101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,IGARATINGA,3130200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,IGUATAMA,3130309,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,INDIANOPOLIS,3130705,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,INGAI,3130804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,INHAPIM,3130903,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,INHAUMA,3131000,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,IPATINGA,3131307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,IPUIUNA,3131505,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,IRAI DE MINAS,3131604,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,ITABIRA,3131703,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITABIRITO,3131901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITACAMBIRA,3132008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITAGUARA,3132206,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITAIPE,3132305,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITAJUBA,3132404,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,ITAMARANDIBA,3132503,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITAMARATI DE MINAS,3132602,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,ITAMBACURI,3132701,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,ITAMBE DO MATO DENTRO,3132800,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,ITAMOGI,3132909,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,ITAMONTE,3133006,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,ITAOBIM,3133303,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,ITAPEVA,3133600,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
MG,ITATIAIUCU,3133709,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,ITAU DE MINAS,3133758,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITAUNA,3133808,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITINGA,3134004,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
MG,ITUETA,3134103,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,ITUIUTABA,3134202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,ITURAMA,3134400,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
MG,ITUTINGA,3134509,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JABOTICATUBAS,3134608,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,JACINTO,3134707,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JACUTINGA,3134905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JAIBA,3135050,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,JAMPRUCA,3135076,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,JANAUBA,3135100,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JANUARIA,3135209,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JAPARAIBA,3135308,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JENIPAPO DE MINAS,3135456,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,JEQUERI,3135506,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,JEQUITAI,3135605,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JEQUITIBA,3135704,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,JEQUITINHONHA,3135803,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
MG,JOAIMA,3136009,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
MG,JOAO MONLEVADE,3136207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JOAO PINHEIRO,3136306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JUATUBA,3136652,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JUIZ DE FORA,3136702,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,JURAMENTO,3136801,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JURUAIA,3136900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,JUVENILIA,3136959,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
MG,LADAINHA,3137007,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
MG,LAGOA DA PRATA,3137205,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,LAGOA DOURADA,3137403,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LAGOA FORMOSA,3137502,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LAGOA GRANDE,3137536,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LAGOA SANTA,3137601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LAMBARI,3137809,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LARANJAL,3138005,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
MG,LASSANCE,3138104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LAVRAS,3138203,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
MG,LEME DO PRADO,3138351,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LEOPOLDINA,3138401,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LIMA DUARTE,3138609,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
MG,LONTRA,3138658,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
