UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
MA,2107506,PACO DO LUMIAR,"1 21.690.734,56","81.563.165,89","1 12.029.631,22","1 2.563.642,28","206.156.439,39","327.847.173,95"
MA,2107605,PALMEIRANDIA,"1 6.331.070,00","10.945.893,10","9 .855.265,19","7 60.289,98","2 1.561.448,27","37.892.518,27"
MA,2107704,PARAIBANO,"1 5.772.595,62","10.571.575,87","7 .354.960,64","1.729.475,53","19.656.012,04","35.428.607,66"
MA,2107803,PARNARAMA,"4 0.830.150,81","27.366.392,15","32.647.880,04","3 .785.961,60","63.800.233,79","104.630.384,60"
MA,2107902,PASSAGEM FRANCA,"1 5.672.927,38","10.504.773,28","10.859.120,49",-,"2 1.363.893,77","37.036.821,15"
MA,2108009,PASTOS BONS,"2 4.283.280,32","16.275.858,86","13.073.173,54","2 .776.907,66","32.125.940,06","56.409.220,38"
MA,2108058,PAULINO NEVES,"2 1.379.989,10","14.329.929,10","13.849.956,89","2 .295.339,59","30.475.225,58","51.855.214,68"
MA,2108108,PAULO RAMOS,"2 8.274.974,05","18.951.289,98","22.994.457,42","1 .295.382,56","43.241.129,96","71.516.104,01"
MA,2108207,PEDREIRAS,"2 2.727.766,40","15.233.276,29","7 .290.220,64","2.767.780,52","25.291.277,45","48.019.043,85"
MA,2108256,PEDRO DO ROSARIO,"3 0.573.969,62","20.492.190,84","15.841.863,08","1 .410.256,17","37.744.310,09","68.318.279,71"
MA,2108306,PENALVA,"3 5.708.590,50","23.933.668,42","26.305.254,22","3 .436.622,71","53.675.545,35","89.384.135,85"
MA,2108405,PERI MIRIM,"1 2.095.446,18","8 .106.967,94","8.964.442,24","5 56.369,88","1 7.627.780,06","29.723.226,24"
MA,2108454,PERITORO,"2 8.854.687,61","19.339.842,77","23.125.762,58","2 .571.279,88","45.036.885,23","73.891.572,84"
MA,2108504,PINDARE MIRIM,"4 7.043.938,57","31.531.180,91","41.765.243,19","4 .180.380,34","77.476.804,44","124.520.743,01"
MA,2108603,PINHEIRO,"6 7.580.350,26","45.295.702,58","47.386.607,22",-,"9 2.682.309,80","160.262.660,06"
MA,2108702,PIO XII,"2 6.834.716,83","17.985.958,17","7 .095.405,21","2.705.361,82","27.786.725,20","54.621.442,03"
MA,2108801,PIRAPEMAS,"2 1.362.957,34","14.318.513,57","16.769.271,27",-,"3 1.087.784,84","52.450.742,18"
MA,2108900,POCAO DE PEDRAS,"1 8.801.005,76","12.601.366,55","14.387.486,13","2 .009.094,15","28.997.946,83","47.798.952,59"
MA,2109007,PORTO FRANCO,"3 0.902.678,86","20.712.508,08","25.035.322,02","3 .400.068,82","49.147.898,92","80.050.577,78"
MA,2109056,PORTO RICO DO MARANHAO,"7 .140.171,71","4.785.697,22","5.220.291,09","6 11.731,88","1 0.617.720,19","17.757.891,90"
MA,2109106,PRESIDENTE DUTRA,"3 5.879.509,18","24.048.226,60","25.599.510,93","3 .580.876,89","53.228.614,42","89.108.123,60"
MA,2109205,PRESIDENTE JUSCELINO,"1 3.291.327,06","8 .908.506,61","9.716.121,27",-,"1 8.624.627,88","31.915.954,94"
MA,2109239,PRESIDENTE MEDICI,"7 .179.890,56","4.812.318,76","4.734.828,04","8 18.564,39","1 0.365.711,19","17.545.601,75"
MA,2109270,PRESIDENTE SARNEY,"2 7.098.069,92","18.162.470,47","19.365.940,69","2 .864.281,34","40.392.692,50","67.490.762,42"
MA,2109304,PRESIDENTE VARGAS,"1 5.086.168,18","10.111.498,15","8 .371.967,73","1.458.435,22","19.941.901,10","35.028.069,28"
MA,2109403,PRIMEIRA CRUZ,"1 9.902.424,72","13.339.592,16","16.151.852,24","1 .781.714,57","31.273.158,97","51.175.583,69"
MA,2109452,RAPOSA,"3 1.651.427,09","21.214.356,27","27.992.904,85","3 .364.347,83","52.571.608,95","84.223.036,04"
MA,2109502,RIACHAO,"1 6.785.721,70","11.250.623,22","7 .113.471,46","9 34.601,32","1 9.298.696,00","36.084.417,70"
MA,2109551,RIBAMAR FIQUENE,"6 .451.647,93","4.324.214,42","2.768.292,40","7 43.027,27","7.835.534,09","14.287.182,02"
MA,2109601,ROSARIO,"4 6.077.970,11","30.883.740,94","38.284.207,20",-,"6 9.167.948,14","115.245.918,25"
MA,2109700,SAMBAIBA,"4 .678.657,67","3.135.868,42","8 74.254,11","314.800,25","4.324.922,78","9.003.580,45"
MA,2109759,SANTA FILOMENA DO MARANHAO,"6 .597.266,15","4.421.814,99","4.253.462,13",-,"8 .675.277,12","15.272.543,27"
MA,2109809,SANTA HELENA,"5 2.880.775,04","35.443.318,20","44.729.288,78","4 .862.644,22","85.035.251,20","137.916.026,24"
MA,2109908,SANTA INES,"6 6.958.573,73","44.878.957,11","37.801.489,99","4 .140.985,83","86.821.432,93","153.780.006,66"
MA,2110005,SANTA LUZIA,"6 7.819.247,73","45.455.823,52","54.582.648,18","7 .068.085,96","1 07.106.557,66","174.925.805,39"
UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
MA,2110039,SANTA LUZIA DO PARUA,"2 2.589.644,60","15.140.700,21","15.543.705,55","2 .193.782,88","32.878.188,64","55.467.833,24"
MA,2110104,SANTA QUITERIA DO MARANHAO,"4 5.001.052,14","30.161.937,09","28.428.631,78","2 .158.236,96","60.748.805,83","105.749.857,97"
MA,2110203,SANTA RITA,"3 7.695.625,18","25.265.477,61","28.539.110,62","3 .652.870,99","57.457.459,22","95.153.084,40"
MA,2110237,SANTANA DO MARANHAO,"1 1.979.751,56","8 .029.423,67","6.920.787,65","1.101.237,95","16.051.449,27","28.031.200,83"
MA,2110278,SANTO AMARO DO MARANHAO,"1 2.943.476,78","8 .675.360,10","7.327.004,59","1.223.480,58","17.225.845,27","30.169.322,05"
MA,2110302,SANTO ANTONIO DOS LOPES,"1 3.875.990,49","9 .300.377,04",-,-,"9 .300.377,04","23.176.367,53"
MA,2110401,SAO BENEDITO DO RIO PRETO,"2 4.734.508,49","16.578.294,36","18.415.260,61","1 .178.329,87","36.171.884,84","60.906.393,33"
MA,2110500,SAO BENTO,"4 2.697.730,70","28.618.136,83","38.324.678,98","4 .114.188,72","71.057.004,53","113.754.735,23"
MA,2110609,SAO BERNARDO,"3 7.056.285,21","24.836.960,26","6 .254.499,43","3.721.538,44","34.812.998,13","71.869.283,34"
MA,2110658,SAO DOMINGOS DO AZEITAO,"7 .227.358,33","4.844.134,01","4.474.420,66","8 87.080,61","1 0.205.635,28","17.432.993,61"
MA,2110708,SAO DOMINGOS DO MARANHAO,"3 1.023.744,77","20.793.652,46","19.204.333,47","3 .517.177,26","43.515.163,19","74.538.907,96"
MA,2110807,SAO FELIX DE BALSAS,"3 .126.645,80","2.095.633,10","7 03.611,81","353.886,72","3.153.131,63","6.279.777,43"
MA,2110856,SAO FRANCISCO DO BREJAO,"8 .593.936,07","5.760.082,19","4.905.724,27",-,"1 0.665.806,46","19.259.742,53"
MA,2110906,SAO FRANCISCO DO MARANHAO,"1 3.423.291,64","8 .996.955,82","8.568.930,22","1.419.499,15","18.985.385,19","32.408.676,83"
MA,2111003,SAO JOAO BATISTA,"1 7.256.104,22","11.565.896,91","11.587.192,20",-,"2 3.153.089,11","40.409.193,33"
MA,2111029,SAO JOAO DO CARU,"1 4.708.102,00","9 .858.099,46","7.501.862,00","1.388.329,86","18.748.291,32","33.456.393,32"
MA,2111052,SAO JOAO DO PARAISO,"9 .076.110,25","6.083.259,24","5 59.215,94","1 .073.652,39","7 .716.127,57","16.792.237,82"
MA,2111078,SAO JOAO DO SOTER,"1 9.483.482,82","13.058.796,52","12.828.782,36","2 .012.406,57","27.899.985,45","47.383.468,27"
MA,2111102,SAO JOAO DOS PATOS,"2 1.663.334,00","14.519.840,90","12.736.465,41","2 .292.377,21","29.548.683,52","51.212.017,52"
MA,2111201,SAO JOSE DE RIBAMAR,"2 13.847.071,20","143.330.913,46","220.660.473,35",-,"3 63.991.386,81","577.838.458,01"
MA,2111250,SAO JOSE DOS BASILIOS,"6 .121.153,49","4.102.700,67","2.482.685,62","6 19.069,19","7.204.455,48","13.325.608,97"
MA,2111300,SAO LUIS,"4 35.130.022,84","291.645.722,80",-,-,"2 91.645.722,80","726.775.745,64"
MA,2111409,SAO LUIS GONZAGA DO MARANHAO,"2 2.225.944,23","14.896.930,18","10.826.822,79","2 .243.417,18","27.967.170,15","50.193.114,38"
MA,2111508,SAO MATEUS DO MARANHAO,"4 0.699.444,34","27.278.786,20","31.765.285,87","3 .903.058,19","62.947.130,26","103.646.574,60"
MA,2111532,SAO PEDRO DA AGUA BRANCA,"1 0.432.203,13","6 .992.179,95","5.280.053,90","1.257.377,50","13.529.611,35","23.961.814,48"
MA,2111573,SAO PEDRO DOS CRENTES,"5 .239.303,53","3.511.641,09","3.774.513,38","5 34.871,10","7.821.025,57","13.060.329,10"
MA,2111607,SAO RAIMUNDO DAS MANGABEIRAS,"1 6.431.724,07","11.013.356,45","10.118.770,21",-,"2 1.132.126,66","37.563.850,73"
MA,2111631,SAO RAIMUNDO DO DOCA BEZERRA,"5 .229.038,72","3.504.761,10","2.253.118,03",-,"5 .757.879,13","10.986.917,85"
MA,2111672,SAO ROBERTO,"7 .157.654,83","4.797.415,27","6.794.260,21","2 78.443,45","1 1.870.118,93","19.027.773,76"
MA,2111706,SAO VICENTE FERRER,"1 8.593.405,91","12.462.222,84","16.335.321,52","811.579,75","2 9.609.124,11","48.202.530,02"
MA,2111722,SATUBINHA,"1 3.308.644,58","8 .920.113,67","4.286.309,58","7 00.153,66","1 3.906.576,91","27.215.221,49"
MA,2111748,SENADOR ALEXANDRE COSTA,"1 1.810.228,01","7 .915.800,57","8.026.987,26","1.148.880,32","17.091.668,15","28.901.896,16"
MA,2111763,SENADOR LA ROCQUE,"1 5.882.530,41","10.645.259,62","11.326.218,67","1 .371.488,05","23.342.966,34","39.225.496,75"
MA,2111789,SERRANO DO MARANHAO,"2 3.642.883,90","15.846.633,42","22.119.777,44","1 .073.568,76","39.039.979,62","62.682.863,52"
MA,2111805,SITIO NOVO,"1 9.336.909,48","12.960.555,81","15.624.839,92",-,"2 8.585.395,73","47.922.305,21"
MA,2111904,SUCUPIRA DO NORTE,"1 1.577.305,62","7 .759.684,44","1 0.189.645,44",-,"1 7.949.329,88","29.526.635,50"
MA,2111953,SUCUPIRA DO RIACHAO,"4 .451.955,82","2.983.921,60","1.847.749,98","4 83.218,52","5.314.890,10","9.766.845,92"
MA,2112001,TASSO FRAGOSO,"8 .516.854,96","5.708.418,61","1.794.916,26","9 73.654,83","8.476.989,70","16.993.844,66"
MA,2112100,TIMBIRAS,"2 4.779.874,24","16.608.700,74","15.036.967,02","1 .226.717,11","32.872.384,87","57.652.259,11"
MA,2112209,TIMON,"1 28.889.715,38","86.388.279,89","83.986.742,62","16.472.484,56","186.847.507,07","315.737.222,45"
MA,2112233,TRIZIDELA DO VALE,"1 9.925.699,80","13.355.192,28","8 .244.959,49","2.609.759,12","24.209.910,89","44.135.610,69"
MA,2112274,TUFILANDIA,"7 .055.107,29","4.728.682,83","3.624.803,47","3 42.618,39","8.696.104,69","15.751.211,98"
MA,2112308,TUNTUM,"3 4.316.811,98","23.000.829,42","26.456.060,08","3 .279.520,84","52.736.410,34","87.053.222,32"
MA,2112407,TURIACU,"4 9.194.186,43","32.972.383,67","42.734.356,72",-,"7 5.706.740,39","124.900.926,82"
MA,2112456,TURILANDIA,"4 1.432.169,32","27.769.894,82","43.183.374,09",-,"7 0.953.268,91","112.385.438,23"
MA,2112506,TUTOIA,"5 8.333.672,07","39.098.120,25","42.580.025,50","5 .722.850,85","87.400.996,60","145.734.668,67"
MA,2112605,URBANO SANTOS,"4 2.137.014,01","28.242.316,69","35.427.493,33","2 .371.004,87","66.040.814,89","108.177.828,90"
MA,2112704,VARGEM GRANDE,"7 5.235.164,64","50.426.338,83","72.905.568,41","4 .542.024,49","1 27.873.931,73","203.109.096,37"
MA,2112803,VIANA,"5 0.654.919,58","33.951.439,47","39.636.894,17","2 .723.037,18","76.311.370,82","126.966.290,40"
MA,2112852,VILA NOVA DOS MARTIRIOS,"1 4.265.298,06","9 .561.310,28","1 1.617.038,90",-,"2 1.178.349,18","35.443.647,24"
MA,2112902,VITORIA DO MEARIM,"2 5.702.000,29","17.226.755,36","13.505.939,18","2 .682.433,70","33.415.128,24","59.117.128,53"
MA,2113009,VITORINO FREIRE,"3 0.791.470,78","20.637.970,91","19.672.472,64","2 .818.602,75","43.129.046,30","73.920.517,08"
MA,2114007,ZE DOCA,"5 0.318.100,48","33.725.686,61","10.934.885,67","4 .814.011,68","49.474.583,96","99.792.684,44"
MA,21,GOVERNO DO ESTADO,"1 .723.050.722,55","1.154.874.053,76","1 25.022.162,48",-,"1 .279.896.216,24","3.002.946.938,79"
MG,3100104,ABADIA DOS DOURADOS,"3 .688.666,02",-,-,-,-,"3.688.666,02"
MG,3100203,ABAETE,"1 5.775.562,50",-,"1 .127.766,87",-,"1 .127.766,87","16.903.329,37"
MG,3100302,ABRE CAMPO,"6 .036.540,31",-,-,"3 41.436,17","3 41.436,17","6.377.976,48"
MG,3100401,ACAIACA,"3 .322.160,03",-,-,-,-,"3.322.160,03"
MG,3100500,ACUCENA,"4 .171.654,88",-,-,-,-,"4.171.654,88"
MG,3100609,AGUA BOA,"6 .157.962,62",-,-,-,-,"6.157.962,62"
MG,3100708,AGUA COMPRIDA,"1 .607.300,87",-,-,-,-,"1.607.300,87"
MG,3100807,AGUANIL,"4 .435.261,91",-,-,-,-,"4.435.261,91"
MG,3100906,AGUAS FORMOSAS,"9 .527.045,28",-,-,-,-,"9.527.045,28"
MG,3101003,AGUAS VERMELHAS,"1 2.619.131,21",-,"2 .415.746,50",-,"2 .415.746,50","15.034.877,71"
MG,3101102,AIMORES,"1 7.942.510,61",-,-,"5 75.621,30","5 75.621,30","18.518.131,91"
MG,3101201,AIURUOCA,"3 .282.408,47",-,-,"1 25.222,04","1 25.222,04","3.407.630,51"
MG,3101300,ALAGOA,"2 .653.054,07",-,-,"1 05.651,50","1 05.651,50","2.758.705,57"
MG,3101409,ALBERTINA,"4 .782.544,02",-,-,-,-,"4.782.544,02"
MG,3101508,ALEM PARAIBA,"2 6.447.120,23",-,"3 64.489,21",-,"3 64.489,21","26.811.609,44"
MG,3101607,ALFENAS,"5 2.855.361,31",-,-,-,-,"52.855.361,31"
MG,3101631,ALFREDO VASCONCELOS,"4 .357.533,94",-,-,"1 68.041,80","1 68.041,80","4.525.575,74"
MG,3101706,ALMENARA,"3 4.976.230,48",-,"2 56.934,62","2 .100.569,86","2 .357.504,48","37.333.734,96"
MG,3101805,ALPERCATA,"6 .956.088,20",-,-,-,-,"6.956.088,20"
MG,3101904,ALPINOPOLIS,"1 1.602.855,70",-,-,-,-,"11.602.855,70"
MG,3102001,ALTEROSA,"1 1.366.569,17",-,-,"4 21.428,83","4 21.428,83","11.787.998,00"
MG,3102050,ALTO CAPARAO,"5 .702.437,65",-,-,-,-,"5.702.437,65"
MG,3153509,ALTO JEQUITIBA,"6 .002.263,34",-,"1 .107.378,64",-,"1 .107.378,64","7.109.641,98"
MG,3102100,ALTO RIO DOCE,"6 .186.326,87",-,-,-,-,"6.186.326,87"
MG,3102209,ALVARENGA,"3 .402.047,76",-,-,-,-,"3.402.047,76"
MG,3102308,ALVINOPOLIS,"8 .495.037,98",-,"9 44.036,54",-,"9 44.036,54","9.439.074,52"
MG,3102407,ALVORADA DE MINAS,"3 .046.893,04",-,-,"9 9.765,63","9 9.765,63","3.146.658,67"
MG,3102506,AMPARO DO SERRA,"3 .475.643,44",-,-,"9 8.754,09","9 8.754,09","3.574.397,53"
MG,3102605,ANDRADAS,"2 6.906.990,55",-,-,"1 .757.701,28","1 .757.701,28","28.664.691,83"
MG,3102803,ANDRELANDIA,"1 0.258.576,27",-,-,"2 74.599,77","2 74.599,77","10.533.176,04"
MG,3102852,ANGELANDIA,"7 .593.498,29",-,"9 75.572,43",-,"9 75.572,43","8.569.070,72"
MG,3102902,ANTONIO CARLOS,"5 .731.002,77",-,-,-,-,"5.731.002,77"
MG,3103009,ANTONIO DIAS,"3 .986.648,11",-,-,-,-,"3.986.648,11"
MG,3103108,ANTONIO PRADO DE MINAS,"1 .180.840,21",-,-,"8 7.602,17","8 7.602,17","1.268.442,38"
MG,3103207,ARACAI,"2 .683.614,69",-,-,"9 2.623,24","9 2.623,24","2.776.237,93"
MG,3103306,ARACITABA,"1 .239.630,60",-,-,"4 5.615,55","4 5.615,55","1.285.246,15"
MG,3103405,ARACUAI,"1 6.560.354,68",-,-,"1 .026.490,86","1 .026.490,86","17.586.845,54"
MG,3103504,ARAGUARI,"7 5.169.325,01",-,-,-,-,"75.169.325,01"
MG,3103603,ARANTINA,"3 .398.460,05",-,-,-,-,"3.398.460,05"
MG,3103702,ARAPONGA,"3 .561.772,77",-,-,"1 31.127,42","1 31.127,42","3.692.900,19"
MG,3103751,ARAPORA,"1 3.890.646,52",-,-,-,-,"13.890.646,52"
MG,3103801,ARAPUA,"2 .192.381,65",-,-,"7 2.102,00","7 2.102,00","2.264.483,65"
MG,3103900,ARAUJOS,"8 .677.898,63",-,"9 30.870,98",-,"9 30.870,98","9.608.769,61"
MG,3104007,ARAXA,"1 13.863.760,18",-,-,"3 .558.699,47","3 .558.699,47","117.422.459,65"
MG,3104106,ARCEBURGO,"8 .494.859,15",-,-,-,-,"8.494.859,15"
MG,3104205,ARCOS,"2 8.041.526,61",-,-,-,-,"28.041.526,61"
MG,3104304,AREADO,"9 .133.637,21",-,-,-,-,"9.133.637,21"
MG,3104403,ARGIRITA,"3 .274.370,03",-,-,-,-,"3.274.370,03"
MG,3104452,ARICANDUVA,"4 .254.331,24",-,"7 3.432,56",-,"7 3.432,56","4.327.763,80"
MG,3104502,ARINOS,"1 4.324.355,85",-,-,-,-,"14.324.355,85"
MG,3104601,ASTOLFO DUTRA,"8 .748.326,48",-,-,"6 23.604,56","6 23.604,56","9.371.931,04"
MG,3104700,ATALEIA,"7 .278.517,20",-,-,-,-,"7.278.517,20"
MG,3104809,AUGUSTO DE LIMA,"4 .916.609,77",-,-,"3 32.865,66","3 32.865,66","5.249.475,43"
MG,3104908,BAEPENDI,"1 2.719.793,66",-,-,"8 93.670,85","8 93.670,85","13.613.464,51"
MG,3105004,BALDIM,"4 .838.444,83",-,-,"1 83.933,67","1 83.933,67","5.022.378,50"
UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
MG,3105103,BAMBUI,"1 3.402.507,51",-,-,"4 79.404,74","4 79.404,74","13.881.912,25"
MG,3105202,BANDEIRA,"2 .836.599,66",-,-,-,-,"2.836.599,66"
MG,3105301,BANDEIRA DO SUL,"6 .586.000,36",-,"3 92.157,84","402.655,22","7 94.813,06","7.380.813,42"
MG,3105400,BARAO DE COCAIS,"2 8.039.212,63",-,-,-,-,"28.039.212,63"
MG,3105509,BARAO DE MONTE ALTO,"5 .487.830,20",-,-,-,-,"5.487.830,20"
MG,3105608,BARBACENA,"6 5.813.015,36",-,-,-,-,"65.813.015,36"
MG,3105707,BARRA LONGA,"2 .187.629,94",-,-,"6 0.234,08","6 0.234,08","2.247.864,02"
MG,3105905,BARROSO,"1 4.627.998,03",-,-,"1 .067.312,09","1 .067.312,09","15.695.310,12"
MG,3106002,BELA VISTA DE MINAS,"5 .763.321,12",-,-,"4 50.242,10","4 50.242,10","6.213.563,22"
MG,3106101,BELMIRO BRAGA,"2 .465.759,07",-,-,-,-,"2.465.759,07"
MG,3106200,BELO HORIZONTE,"1 .681.415.641,16",-,-,-,-,"1.681.415.641,16"
MG,3106309,BELO ORIENTE,"3 1.074.350,54",-,-,"1 .029.873,61","1 .029.873,61","32.104.224,15"
MG,3106408,BELO VALE,"6 .438.412,69",-,-,-,-,"6.438.412,69"
MG,3106507,BERILO,"4 .192.652,41",-,-,"1 32.137,95","1 32.137,95","4.324.790,36"
MG,3106655,BERIZAL,"3 .993.465,26",-,"7 4.014,99","1 30.077,89","2 04.092,88","4.197.558,14"
MG,3106606,BERTOPOLIS,"3 .030.462,45",-,-,-,-,"3.030.462,45"
MG,3106705,BETIM,"4 60.075.757,52",-,-,-,-,"460.075.757,52"
MG,3106804,BIAS FORTES,"1 .874.271,61",-,-,"6 5.333,24","6 5.333,24","1.939.604,85"
MG,3106903,BICAS,"1 2.809.842,97",-,-,-,-,"12.809.842,97"
MG,3107000,BIQUINHAS,"2 .782.003,85",-,-,-,-,"2.782.003,85"
MG,3107109,BOA ESPERANCA,"3 4.487.467,40",-,"4 .260.967,94",-,"4 .260.967,94","38.748.435,34"
MG,3107208,BOCAINA DE MINAS,"3 .555.105,21",-,-,"2 40.256,39","2 40.256,39","3.795.361,60"
MG,3107307,BOCAIUVA,"2 7.692.065,75",-,-,"9 22.422,60","9 22.422,60","28.614.488,35"
MG,3107406,BOM DESPACHO,"3 8.070.147,53",-,-,-,-,"38.070.147,53"
MG,3107505,BOM JARDIM DE MINAS,"5 .532.892,06",-,-,"4 00.320,92","4 00.320,92","5.933.212,98"
MG,3107604,BOM JESUS DA PENHA,"4 .220.298,24",-,-,-,-,"4.220.298,24"
MG,3107703,BOM JESUS DO AMPARO,"4 .381.367,54",-,-,-,-,"4.381.367,54"
MG,3107802,BOM JESUS DO GALHO,"6 .720.752,91",-,-,-,-,"6.720.752,91"
MG,3107901,BOM REPOUSO,"1 2.048.457,69",-,"1 .754.959,20",-,"1 .754.959,20","13.803.416,89"
MG,3108008,BOM SUCESSO,"1 0.225.699,62",-,-,-,-,"10.225.699,62"
MG,3108107,BONFIM,"3 .831.159,49",-,-,-,-,"3.831.159,49"
MG,3108206,BONFINOPOLIS DE MINAS,"5 .516.395,61",-,-,-,-,"5.516.395,61"
MG,3108255,BONITO DE MINAS,"8 .145.484,00",-,"4 06.659,44",-,"4 06.659,44","8.552.143,44"
MG,3108305,BORDA DA MATA,"1 3.768.708,78",-,-,-,-,"13.768.708,78"
MG,3108404,BOTELHOS,"1 0.879.110,20",-,-,-,-,"10.879.110,20"
MG,3108503,BOTUMIRIM,"3 .170.346,73",-,-,"1 85.884,61","1 85.884,61","3.356.231,34"
MG,3108701,BRAS PIRES,"3 .706.102,39",-,-,"2 25.884,90","2 25.884,90","3.931.987,29"
MG,3108552,BRASILANDIA DE MINAS,"1 6.134.613,07",-,"1 .956.674,13",-,"1 .956.674,13","18.091.287,20"
MG,3108602,BRASILIA DE MINAS,"1 6.491.892,04",-,"1 .654.377,49","4 69.921,37","2.124.298,86","18.616.190,90"
MG,3108800,BRAUNAS,"2 .325.168,78",-,-,-,-,"2.325.168,78"
MG,3108909,BRAZOPOLIS,"1 0.559.075,00",-,"6 25.235,72",-,"6 25.235,72","11.184.310,72"
MG,3109006,BRUMADINHO,"4 8.780.413,37",-,-,-,-,"48.780.413,37"
MG,3109105,BUENO BRANDAO,"5 .862.951,64",-,-,-,-,"5.862.951,64"
MG,3109204,BUENOPOLIS,"7 .247.037,50",-,-,"4 92.485,29","4 92.485,29","7.739.522,79"
MG,3109253,BUGRE,"2 .253.713,28",-,-,-,-,"2.253.713,28"
MG,3109303,BURITIS,"2 9.409.786,14",-,-,"8 53.991,67","8 53.991,67","30.263.777,81"
MG,3109402,BURITIZEIRO,"2 2.222.986,96",-,"3 .835.464,29",-,"3 .835.464,29","26.058.451,25"
MG,3109451,CABECEIRA GRANDE,"9 .110.311,99",-,-,-,-,"9.110.311,99"
MG,3109501,CABO VERDE,"9 .343.709,68",-,"6 8.540,02",-,"6 8.540,02","9.412.249,70"
MG,3109600,CACHOEIRA DA PRATA,"4 .063.243,42",-,-,-,-,"4.063.243,42"
MG,3109709,CACHOEIRA DE MINAS,"1 0.213.879,43",-,"9 5.066,68",-,"9 5.066,68","10.308.946,11"
MG,3102704,CACHOEIRA DE PAJEU,"5 .860.630,35",-,-,-,-,"5.860.630,35"
MG,3109808,CACHOEIRA DOURADA,"3 .393.632,74",-,-,"1 23.897,72","1 23.897,72","3.517.530,46"
MG,3109907,CAETANOPOLIS,"1 0.035.986,36",-,-,-,-,"10.035.986,36"
MG,3110004,CAETE,"2 5.658.830,12",-,-,-,-,"25.658.830,12"
MG,3110103,CAIANA,"4 .035.738,19",-,-,-,-,"4.035.738,19"
MG,3110202,CAJURI,"5 .548.725,77",-,-,"1 90.702,43","1 90.702,43","5.739.428,20"
MG,3110301,CALDAS,"1 1.519.576,90",-,"6 01.961,00","371.732,15","9 73.693,15","12.493.270,05"
MG,3110400,CAMACHO,"1 .982.286,33",-,-,-,-,"1.982.286,33"
MG,3110509,CAMANDUCAIA,"2 8.034.896,10",-,-,-,-,"28.034.896,10"
MG,3110608,CAMBUI,"2 3.132.493,52",-,-,-,-,"23.132.493,52"
MG,3110707,CAMBUQUIRA,"1 0.181.075,80",-,"8 40.897,25","671.566,84","1.512.464,09","11.693.539,89"
MG,3110806,CAMPANARIO,"2 .769.526,49",-,-,"1 06.240,09","1 06.240,09","2.875.766,58"
MG,3110905,CAMPANHA,"1 2.974.229,71",-,-,-,-,"12.974.229,71"
MG,3111002,CAMPESTRE,"2 1.860.447,03",-,"6 02.066,23",-,"6 02.066,23","22.462.513,26"
MG,3111101,CAMPINA VERDE,"1 0.126.286,75",-,-,-,-,"10.126.286,75"
MG,3111150,CAMPO AZUL,"3 .942.607,71",-,-,-,-,"3.942.607,71"
MG,3111200,CAMPO BELO,"3 5.433.859,28",-,-,-,-,"35.433.859,28"
MG,3111309,CAMPO DO MEIO,"9 .209.297,85",-,"1 .905.461,95",-,"1 .905.461,95","11.114.759,80"
MG,3111408,CAMPO FLORIDO,"1 0.686.899,29",-,-,-,-,"10.686.899,29"
MG,3111507,CAMPOS ALTOS,"1 4.773.823,49",-,-,-,-,"14.773.823,49"
MG,3111606,CAMPOS GERAIS,"2 4.295.214,01",-,"1 .812.549,34","7 56.895,32","2.569.444,66","26.864.658,67"
MG,3111903,CANA VERDE,"3 .262.541,42",-,-,"2 42.687,12","2 42.687,12","3.505.228,54"
MG,3111705,CANAA,"2 .854.037,61",-,-,"1 97.340,47","1 97.340,47","3.051.378,08"
MG,3111804,CANAPOLIS,"7 .761.863,16",-,-,-,-,"7.761.863,16"
MG,3112000,CANDEIAS,"7 .745.827,90",-,-,-,-,"7.745.827,90"
MG,3112059,CANTAGALO,"2 .935.494,63",-,-,"1 08.804,03","1 08.804,03","3.044.298,66"
MG,3112109,CAPARAO,"5 .083.123,59",-,"6 94.032,82",-,"6 94.032,82","5.777.156,41"
MG,3112208,CAPELA NOVA,"2 .355.969,20",-,-,"8 5.639,52","8 5.639,52","2.441.608,72"
MG,3112307,CAPELINHA,"2 8.443.354,17",-,"5 .927.062,85","1.007.956,52","6 .935.019,37","35.378.373,54"
MG,3112406,CAPETINGA,"5 .514.589,49",-,-,-,-,"5.514.589,49"
MG,3112505,CAPIM BRANCO,"6 .817.063,20",-,-,"5 02.454,92","5 02.454,92","7.319.518,12"
MG,3112604,CAPINOPOLIS,"1 3.562.495,02",-,-,-,-,"13.562.495,02"
MG,3112653,CAPITAO ANDRADE,"4 .830.112,12",-,"6 46.774,35",-,"6 46.774,35","5.476.886,47"
MG,3112703,CAPITAO ENEAS,"1 3.684.377,77",-,"3 .975.860,80","7 76.728,74","4.752.589,54","18.436.967,31"
MG,3112802,CAPITOLIO,"8 .278.434,91",-,-,"4 77.733,15","4 77.733,15","8.756.168,06"
