UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
AL,2701803,CARNEIROS,"1 6.665.555,88","3 .391.980,46","9.909.386,81",-,"1 3.301.367,27","29.966.923,15"
AL,2701902,CHA PRETA,"8 .690.866,77","1.768.872,90","3.489.907,74","7 14.211,41","5.972.992,05","14.663.858,82"
AL,2702009,COITE DO NOIA,"1 6.639.917,29","3 .386.762,17","9.415.983,77",-,"1 2.802.745,94","29.442.663,23"
AL,2702108,COLONIA LEOPOLDINA,"3 0.556.281,11","6 .219.193,00","2 0.037.773,04","2 .595.732,20","28.852.698,24","59.408.979,35"
AL,2702207,COQUEIRO SECO,"7 .304.758,84","1.486.755,04","4 05.200,95","366.395,87","2.258.351,86","9.563.110,70"
AL,2702306,CORURIPE,"8 3.869.172,73","17.070.093,37","39.944.806,04","8 .367.217,27","65.382.116,68","149.251.289,41"
AL,2702355,CRAIBAS,"4 6.129.510,94","9 .388.849,72","2 7.753.708,59","1 .617.670,90","38.760.229,21","84.889.740,15"
AL,2702405,DELMIRO GOUVEIA,"5 9.543.012,35","12.118.931,76","25.194.387,30",-,"3 7.313.319,06","96.856.331,41"
AL,2702504,DOIS RIACHOS,"2 1.957.967,03","4 .469.157,56","1 2.523.226,76","1 .891.348,45","18.883.732,77","40.841.699,80"
AL,2702553,ESTRELA DE ALAGOAS,"2 0.106.115,18","4 .092.245,73","7.763.475,14","1.700.247,31","13.555.968,18","33.662.083,36"
AL,2702603,FEIRA GRANDE,"3 4.131.018,32","6 .946.767,81","1 9.202.292,15","2 .474.323,29","28.623.383,25","62.754.401,57"
AL,2702702,FELIZ DESERTO,"6 .893.344,25","1.403.018,85","1.639.317,06","5 92.371,03","3.634.706,94","10.528.051,19"
AL,2702801,FLEXEIRAS,"1 5.390.498,71","3 .132.465,02","4.380.123,57","6 39.856,96","8.152.445,55","23.542.944,26"
AL,2702900,GIRAU DO PONCIANO,"8 4.758.752,76","17.251.151,73","25.365.297,61","6 .546.579,52","49.163.028,86","133.921.781,62"
AL,2703007,IBATEGUARA,"2 3.091.297,49","4 .699.827,02","1 5.342.499,66","2 .207.414,71","22.249.741,39","45.341.038,88"
AL,2703106,IGACI,"2 8.999.401,54","5 .902.317,57","1 3.738.902,08","2 .358.414,28","21.999.633,93","50.999.035,47"
AL,2703205,IGREJA NOVA,"3 3.484.602,50","6 .815.201,26","1 4.941.429,89",-,"2 1.756.631,15","55.241.233,65"
AL,2703304,INHAPI,"3 1.887.752,40","6 .490.190,54","1 6.406.316,05",-,"2 2.896.506,59","54.784.258,99"
AL,2703403,JACARE DOS HOMENS,"1 4.874.113,62","3 .027.363,93","1 0.115.063,86","1 .079.510,45","14.221.938,24","29.096.051,86"
AL,2703502,JACUIPE,"1 0.046.634,06","2 .044.815,46","2 29.519,45","799.586,33","3.073.921,24","13.120.555,30"
AL,2703601,JAPARATINGA,"1 4.222.639,05","2 .894.767,75","5.767.631,28","1.127.128,47","9 .789.527,50","24.012.166,55"
AL,2703700,JARAMATAIA,"9 .436.341,17","1.920.601,09","5.803.064,05","5 94.640,26","8.318.305,40","17.754.646,57"
AL,2703759,JEQUIA DA PRAIA,"1 5.007.264,14","3 .054.464,37","4.167.186,52",-,"7 .221.650,89","22.228.915,03"
AL,2703809,JOAQUIM GOMES,"1 9.922.217,61","4 .054.816,61","5.483.711,44","1.648.868,85","11.187.396,90","31.109.614,51"
AL,2703908,JUNDIA,"1 0.098.934,69","2 .055.460,34","4.383.632,67","8 17.283,31","7.256.376,32","17.355.311,01"
AL,2704005,JUNQUEIRO,"3 2.763.641,52","6 .668.462,34","1 3.041.846,42",-,"1 9.710.308,76","52.473.950,28"
AL,2704104,LAGOA DA CANOA,"3 8.855.509,04","7 .908.354,72","1 8.544.975,60","2 .870.976,81","29.324.307,13","68.179.816,17"
AL,2704203,LIMOEIRO DE ANADIA,"4 9.301.729,56","10.034.498,97","30.344.706,12","3 .808.202,35","44.187.407,44","93.489.137,00"
AL,2704302,MACEIO,"3 55.375.930,41","72.330.513,32",-,-,"7 2.330.513,32","427.706.443,73"
AL,2704401,MAJOR ISIDORO,"3 3.647.064,94","6 .848.267,62","1 8.599.876,29","2 .487.589,65","27.935.733,56","61.582.798,50"
AL,2704906,MAR VERMELHO,"4 .357.081,39","886.807,20","690.733,45","384.748,58","1.962.289,23","6.319.370,62"
AL,2704500,MARAGOGI,"4 0.483.049,55","8 .239.611,93","6.089.622,45","3.558.290,74","17.887.525,12","58.370.574,67"
AL,2704609,MARAVILHA,"2 3.192.678,57","4 .720.461,36","7.780.222,66","8 62.503,55","1 3.363.187,57","36.555.866,14"
AL,2704708,MARECHAL DEODORO,"7 7.984.766,74","15.872.426,15","24.875.185,89",-,"4 0.747.612,04","118.732.378,78"
AL,2704807,MARIBONDO,"1 3.975.497,31","2 .844.466,40","6.224.455,00","1.062.082,36","10.131.003,76","24.106.501,07"
AL,2705002,MATA GRANDE,"3 4.351.793,02","6 .991.702,62","1 2.180.709,09","1 .307.468,74","20.479.880,45","54.831.673,47"
AL,2705101,MATRIZ DE CAMARAGIBE,"2 9.167.348,63","5 .936.500,25","1 0.156.726,36",-,"1 6.093.226,61","45.260.575,24"
AL,2705200,MESSIAS,"2 0.311.718,22","4 .134.092,60","5.407.958,46",-,"9 .542.051,06","29.853.769,28"
AL,2705309,MINADOR DO NEGRAO,"9 .996.132,65","2.034.536,80","4.647.160,05",-,"6 .681.696,85","16.677.829,50"
AL,2705408,MONTEIROPOLIS,"1 4.177.745,47","2 .885.630,46","9.246.673,80","1.108.493,28","13.240.797,54","27.418.543,01"
AL,2705507,MURICI,"4 4.316.458,57","9 .019.834,84","2 1.751.515,80","2 .120.406,06","32.891.756,70","77.208.215,27"
AL,2705606,NOVO LINO,"2 3.080.201,79","4 .697.568,69","1 1.798.442,20","2 .266.915,45","18.762.926,34","41.843.128,13"
AL,2705705,OLHO DAGUA DAS FLORES,"2 7.443.720,36","5 .585.686,06","1 3.418.641,29","2 .513.924,91","21.518.252,26","48.961.972,62"
AL,2705804,OLHO DAGUA DO CASADO,"1 3.249.693,77","2 .696.741,87","7.424.375,21","1.039.298,32","11.160.415,40","24.410.109,17"
AL,2705903,OLHO DAGUA GRANDE,"1 1.115.666,97","2 .262.398,29","2.695.192,05","9 47.124,13","5.904.714,47","17.020.381,44"
AL,2706000,OLIVENCA,"2 1.006.821,91","4 .275.568,72","1 2.979.379,58","1 .958.816,92","19.213.765,22","40.220.587,13"
AL,2706109,OURO BRANCO,"1 8.353.823,88","3 .735.597,69","7.065.273,32","1.539.718,17","12.340.589,18","30.694.413,06"
AL,2706208,PALESTINA,"7 .602.844,67","1.547.425,17","3.793.110,82","3 24.606,15","5.665.142,14","13.267.986,81"
AL,2706307,PALMEIRA DOS INDIOS,"6 8.208.883,16","13.882.717,18","27.141.200,10",-,"4 1.023.917,28","109.232.800,44"
AL,2706406,PAO DE ACUCAR,"3 2.615.391,81","6 .638.288,73","1 5.792.773,34","2 .652.865,19","25.083.927,26","57.699.319,07"
AL,2706422,PARICONHA,"1 5.769.440,91","3 .209.592,04","9.197.504,11","5 65.777,34","1 2.972.873,49","28.742.314,40"
AL,2706448,PARIPUEIRA,"1 8.870.075,76","3 .840.671,67","5.434.795,66",-,"9 .275.467,33","28.145.543,09"
AL,2706505,PASSO DE CAMARAGIBE,"2 0.124.429,07","4 .095.973,19","9.992.480,43","1.688.438,74","15.776.892,36","35.901.321,43"
AL,2706604,PAULO JACINTO,"7 .314.114,17","1.488.659,16","2.124.847,93","6 07.514,84","4.221.021,93","11.535.136,10"
AL,2706703,PENEDO,"6 2.996.560,82","12.821.840,74","38.013.955,57","5 .579.466,64","56.415.262,95","119.411.823,77"
AL,2706802,PIACABUCU,"2 3.119.274,77","4 .705.521,30","1 2.089.136,06","1 .899.449,92","18.694.107,28","41.813.382,05"
AL,2706901,PILAR,"5 6.746.770,71","11.549.806,01","26.222.311,47","4 .991.004,31","42.763.121,79","99.509.892,50"
AL,2707008,PINDOBA,"3 .330.859,54","677.937,81","126.314,33",-,"8 04.252,14","4.135.111,68"
AL,2707107,PIRANHAS,"3 0.699.924,58","6 .248.429,10","1 5.562.618,89","2 .655.965,44","24.467.013,43","55.166.938,01"
AL,2707206,POCO DAS TRINCHEIRAS,"2 4.380.916,96","4 .962.306,36","1 1.406.756,52","1 .959.311,21","18.328.374,09","42.709.291,05"
UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
AL,2707305,PORTO CALVO,"4 1.399.184,07","8 .426.074,98","2 4.064.741,06","3 .387.527,65","35.878.343,69","77.277.527,76"
AL,2707404,PORTO DE PEDRAS,"1 6.147.122,18","3 .286.462,41","4.623.628,95","5 97.359,28","8.507.450,64","24.654.572,82"
AL,2707503,PORTO REAL DO COLEGIO,"2 2.960.110,59","4 .673.126,24","1 4.036.740,57","1 .629.987,30","20.339.854,11","43.299.964,70"
AL,2707602,QUEBRANGULO,"2 3.654.225,57","4 .814.401,12","1 3.447.884,76",-,"1 8.262.285,88","41.916.511,45"
AL,2707701,RIO LARGO,"1 02.062.301,68","20.772.984,44","45.372.223,78","9 .154.246,00","75.299.454,22","177.361.755,90"
AL,2707800,ROTEIRO,"1 0.396.654,67","2 .116.056,00","1.327.411,17","8 47.120,30","4.290.587,47","14.687.242,14"
AL,2707909,SANTA LUZIA DO NORTE,"9 .888.478,15","2.012.625,62","3.025.575,48","7 17.689,12","5.755.890,22","15.644.368,37"
AL,2708006,SANTANA DO IPANEMA,"4 5.017.990,17","9 .162.619,24","2 4.613.541,22","4 .028.488,76","37.804.649,22","82.822.639,39"
AL,2708105,SANTANA DO MUNDAU,"2 3.716.650,14","4 .827.106,54","1 6.406.287,09","2 .327.718,15","23.561.111,78","47.277.761,92"
AL,2708204,SAO BRAS,"8 .027.986,07","1.633.955,21","2.095.448,31","7 79.793,05","4.509.196,57","12.537.182,64"
AL,2708303,SAO JOSE DA LAJE,"2 5.736.040,60","5 .238.117,91","1 2.555.228,69","2 .727.785,06","20.521.131,66","46.257.172,26"
AL,2708402,SAO JOSE DA TAPERA,"4 7.529.117,54","9 .673.715,00","2 2.302.960,61",-,"3 1.976.675,61","79.505.793,15"
AL,2708501,SAO LUIS DO QUITUNDE,"3 5.742.781,93","7 .274.813,92","1 1.172.649,26","2 .897.937,38","21.345.400,56","57.088.182,49"
AL,2708600,SAO MIGUEL DOS CAMPOS,"6 1.725.602,30","12.563.159,51","27.485.255,46","5 .800.873,17","45.849.288,14","107.574.890,44"
AL,2708709,SAO MIGUEL DOS MILAGRES,"1 5.064.512,06","3 .066.116,18","6.337.018,80","1.176.057,39","10.579.192,37","25.643.704,43"
AL,2708808,SAO SEBASTIAO,"4 5.282.028,38","9 .216.359,57","1 7.180.925,21","3 .521.325,74","29.918.610,52","75.200.638,90"
AL,2708907,SATUBA,"2 3.648.704,31","4 .813.277,37","1 1.394.704,74","959.682,85","1 7.167.664,96","40.816.369,27"
AL,2708956,SENADOR RUI PALMEIRA,"2 1.633.230,16","4 .403.063,09","1 0.471.799,82","1 .613.991,98","16.488.854,89","38.122.085,05"
AL,2709004,TANQUE DARCA,"1 1.094.713,83","2 .258.133,65","4.693.690,12","8 45.994,69","7.797.818,46","18.892.532,29"
AL,2709103,TAQUARANA,"3 9.742.768,97","8 .088.940,85","2 2.715.658,72","2 .688.908,97","33.493.508,54","73.236.277,51"
AL,2709152,TEOTONIO VILELA,"7 8.111.227,17","15.898.164,94","22.476.738,76","6 .779.990,65","45.154.894,35","123.266.121,52"
AL,2709202,TRAIPU,"5 3.351.073,01","10.858.671,53","45.391.164,62","3 .910.450,88","60.160.287,03","113.511.360,04"
AL,2709301,UNIAO DOS PALMARES,"8 4.968.398,79","17.293.821,49","51.219.855,49","8 .571.303,52","77.084.980,50","162.053.379,29"
AL,2709400,VICOSA,"2 7.212.357,81","5 .538.596,29","1 0.099.630,28","1 .178.699,35","16.816.925,92","44.029.283,73"
AL,27,GOVERNO DO ESTADO,"1 .253.362.920,51","255.099.953,76",-,"8 8.752.483,77","343.852.437,53","1.597.215.358,04"
AM,1300029,ALVARAES,"2 9.305.277,33","8 .280.563,21","1 9.520.738,33","2 .080.168,27","29.881.469,81","59.186.747,14"
AM,1300060,AMATURA,"1 8.370.020,63","5 .190.673,18","1 1.703.040,86",-,"1 6.893.714,04","35.263.734,67"
AM,1300086,ANAMA,"1 0.970.602,77","3 .099.877,49","2.830.343,87","4 37.811,55","6.368.032,91","17.338.635,68"
AM,1300102,ANORI,"1 5.518.151,72","4 .384.842,87","7.353.101,33",-,"1 1.737.944,20","27.256.095,92"
AM,1300144,APUI,"1 2.615.466,92","3 .564.653,91","4.227.927,82",-,"7 .792.581,73","20.408.048,65"
AM,1300201,ATALAIA DO NORTE,"2 6.381.195,17","7 .454.328,17","1 5.530.636,55",-,"2 2.984.964,72","49.366.159,89"
AM,1300300,AUTAZES,"4 6.285.440,07","13.078.515,10","26.682.102,23","1 .435.764,66","41.196.381,99","87.481.822,06"
AM,1300409,BARCELOS,"1 9.026.276,91","5 .376.106,39","1 1.749.699,13",-,"1 7.125.805,52","36.152.082,43"
AM,1300508,BARREIRINHA,"5 5.115.114,75","15.573.447,27","32.497.164,20","3 .570.593,71","51.641.205,18","106.756.319,93"
AM,1300607,BENJAMIN CONSTANT,"7 5.809.332,11","21.420.850,56","62.073.634,12",-,"8 3.494.484,68","159.303.816,79"
AM,1300631,BERURI,"2 8.796.931,49","8 .136.923,89","8.212.919,55",-,"1 6.349.843,44","45.146.774,93"
AM,1300680,BOA VISTA DO RAMOS,"2 3.431.217,40","6 .620.776,00","1 4.231.741,62","805.898,67","2 1.658.416,29","45.089.633,69"
AM,1300706,BOCA DO ACRE,"3 0.413.788,46","8 .593.786,53","1 4.224.659,20","2 .716.444,66","25.534.890,39","55.948.678,85"
AM,1300805,BORBA,"4 0.632.686,82","11.481.260,79","23.809.492,05","1 .266.219,13","36.556.971,97","77.189.658,79"
AM,1300839,CAAPIRANGA,"1 3.709.584,75","3 .873.810,23","1.648.310,40","9 66.430,90","6.488.551,53","20.198.136,28"
AM,1300904,CANUTAMA,"1 4.064.088,55","3 .973.979,60","6.629.364,15",-,"1 0.603.343,75","24.667.432,30"
AM,1301001,CARAUARI,"2 7.807.809,94","7 .857.435,55","1 3.928.100,12","1 .043.213,24","22.828.748,91","50.636.558,85"
AM,1301100,CAREIRO,"4 1.668.780,85","11.774.021,78","17.826.228,34","1 .509.285,68","31.109.535,80","72.778.316,65"
AM,1301159,CAREIRO DA VARZEA,"2 1.062.060,29","5 .951.341,78","1 0.829.737,93","1 .655.286,16","18.436.365,87","39.498.426,16"
AM,1301209,COARI,"6 3.311.609,47","17.889.466,74","17.998.448,99","2 .202.551,10","38.090.466,83","101.402.076,30"
AM,1301308,CODAJAS,"2 0.186.930,65","5 .704.063,24","8.980.257,96",-,"1 4.684.321,20","34.871.251,85"
AM,1301407,EIRUNEPE,"3 4.408.402,21","9 .722.513,33","1 3.676.221,50",-,"2 3.398.734,83","57.807.137,04"
AM,1301506,ENVIRA,"1 7.703.127,17","5 .002.234,31","7.495.296,48",-,"1 2.497.530,79","30.200.657,96"
AM,1301605,FONTE BOA,"3 4.197.399,54","9 .662.891,95","1 6.662.066,78","888.473,21","2 7.213.431,94","61.410.831,48"
