IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
350340,3503406.0,AREALVA,-22.076224961394345,-48.98188112393882,471595.51,81300.0,0.0002116,,True,21160.0
352450,3524501.0,JACI,-20.94524740061347,-49.5811440472445,264548.94,76130.0,0.0002091,,True,20910.0
355690,3556909.0,VISTA ALEGRE DO ALTO,-21.17669181781368,-48.649498777305176,283405.0,81090.0,0.0002049,,True,20490.0
352160,3521606.0,IRAPURU,-21.48427953480708,-51.346484409996926,151561.34,70850.0,0.0001875,,True,18750.0
355440,3554409.0,TERRA ROXA,-20.77873054099716,-48.34576933659591,331669.2,79040.0,0.0001866,,True,18660.0
350310,3503109.0,ARANDU,-23.177667086372185,-49.06400383011063,244558.21,68850.0,0.0001865,,True,18650.0
350370,3503703.0,ARIRANHA,-21.185651002478927,-48.779203325124165,202474.18,76020.0,0.0001814,,True,18140.0
355290,3552908.0,TACIBA,-22.50486563505692,-51.34229813480879,473425.37,62600.0,0.0001773,,True,17730.0
352420,3524204.0,JABORANDI,-20.65003642430384,-48.41599152150666,571092.76,62210.0,0.0001638,,True,16380.0
352120,3521200.0,IPORANGA,-24.51269030037149,-48.54630623170817,254196.63,40460.0,0.0001389,,True,13889.999999999998
353400,3534005.0,ONDA VERDE,-20.617376480944085,-49.24367774895811,168630.39,47710.0,0.0001239,,True,12390.0
353160,3531605.0,MONTE CASTELO,-21.254900658892065,-51.57136182825841,135963.77,42220.0,0.0001173,,True,11730.0
354710,3547106.0,SANTA MERCEDES,-21.316731520882037,-51.73712609697455,230260.43,29560.0,0.0001066,,True,10660.0
352300,3523008.0,ITAPURA,-20.594995935010008,-51.44046730556028,262563.75,39790.0,0.0001048,,True,10480.0
352540,3525409.0,JERIQUARA,-20.34016063711269,-47.57411182619817,214834.53,38630.0,0.0001023,,True,10230.0
353970,3539707.0,PLATINA,-22.62529036464582,-50.2127349942307,223685.98,30250.0,0.0001018,,True,10180.0
353625,3536257.0,PARISI,-20.27162213408672,-50.03737619852039,204885.3,28920.0,0.0001,,True,10000.0
351260,3512605.0,CORONEL MACEDO,-23.630165875114688,-49.30680793971185,129489.3,42800.0,9.81e-05,,True,9810.0
352215,3522158.0,ITAOCA,-24.617831651980232,-48.83894476882674,104180.03,34220.0,9.75e-05,,True,9750.0
350240,3502408.0,ANHUMAS,-22.36200566862795,-51.42776089803261,129489.3,40230.0,8.94e-05,,True,8940.0
354360,3543600.0,RIFAINA,-20.060852954330517,-47.44086436366156,143615.41,40490.0,8.55e-05,,True,8550.0
351530,3515301.0,ESTRELA DO NORTE,-22.485631905139847,-51.66906502226006,98305.16,27030.0,8.44e-05,,True,8440.0
354280,3542800.0,RIBEIRA,-24.60735290526391,-49.03659582554909,113891.73,31320.0,8.22e-05,,True,8220.0
