CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
542;PIRATININGA;269.273.534;211.368.295;15108;17898618;27282,90;0,0000000;0,232509;0,0023555;0,0013360;0,0003370;0,0273879;
543;PITANGUEIRAS;2.176.969.319;1.806.614.975;33674;22623262;37506,40;0,0000000;0,000000;0,0000000;0,0014270;0,0009296;0,0978388;
544;PLANALTO;917.528.932;516.976.600;4389;2793415;23840,70;0,0001458;0,000000;0,0000000;0,0009340;0,0001215;0,0361540;
545;PLATINA;294.644.382;388.890.812;3025;2811264;35632,60;0,0000000;0,000000;0,0000000;0,0013310;0,0001018;0,0242211;
546;POA;2.122.366.146;2.042.578.875;103765;83009563;29,70;0,0000000;0,006569;0,0000131;0,0030420;0,0028454;0,1229583;
547;POLONI;207.668.868;292.055.102;5592;2435672;12174,07;0,0000000;0,000000;0,0000000;0,0011580;0,0000446;0,0160977;
548;POMPEIA;1.955.326.853;2.753.877.728;20196;15259424;65130,00;0,0000000;0,000000;0,0000000;0,0012430;0,0004645;0,1108710;
549;PONGAI;174.367.205;188.476.552;3395;2170578;15863,77;0,0017688;0,000000;0,0000000;0,0013450;0,0000944;0,0155231;
550;PONTAL;2.155.805.700;1.614.681.311;37607;18484185;29573,40;0,0000000;0,000000;0,0000000;0,0015850;0,0009795;0,0929573;
756;PONTALINDA;113.202.238;105.553.425;4127;487098;19300,19;0,0000000;0,000000;0,0000000;0,0013530;0,0001106;0,0126385;
551;PONTES GESTAL;331.634.180;355.889.933;2387;2642847;16738,50;0,0013507;0,000000;0,0000000;0,0013310;0,0000658;0,0212399;
552;POPULINA;195.416.789;181.113.013;4127;556141;25859,50;0,0036072;0,000000;0,0000000;0,0009780;0,0001004;0,0182411;
553;PORANGABA;141.826.144;106.049.401;10451;10517463;20518,90;0,0000000;0,000000;0,0000000;0,0013450;0,0002463;0,0156242;
554;PORTO FELIZ;5.153.179.436;4.423.036.059;56497;159019975;36001,10;0,0000000;0,000000;0,0000000;0,0015410;0,0014170;0,2155182;
