IBGE_6,IBGE_7,Município_Join,latitude,longitude
350760,3507605.0,BRAGANÇA PAULISTA,-22.93840457478192,-46.556043773646756
350770,3507704.0,BRAÚNA,-21.553241540715252,-50.33942722496315
350775,3507753.0,BREJO ALEGRE,-21.176605563123083,-50.20980723562507
350780,3507803.0,BRODOWSKI,-21.04951895805526,-47.62771644973586
350790,3507902.0,BROTAS,-22.273351383330088,-48.08123373793086
350800,3508009.0,BURI,-23.752042303587036,-48.575289309666644
350810,3508108.0,BURITAMA,-21.049091255187925,-50.200271494784026
350820,3508207.0,BURITIZAL,-20.209305229936707,-47.69295396917601
350830,3508306.0,CABRÁLIA PAULISTA,-22.489522221347325,-49.373038967836244
350840,3508405.0,CABREÚVA,-23.30126267556731,-47.08027375348407
350850,3508504.0,CAÇAPAVA,-23.103733460290538,-45.71333756801552
350860,3508603.0,CACHOEIRA PAULISTA,-22.70230098776377,-44.99171144851991
350870,3508702.0,CACONDE,-21.539494411936907,-46.6171015634065
350880,3508801.0,CAFELÂNDIA,-21.731193964056484,-49.54878312714765
350890,3508900.0,CAIABU,-21.949831280861392,-51.22389457446209
350900,3509007.0,CAIEIRAS,-23.37592127064723,-46.745219083058636
350910,3509106.0,CAIUÁ,-21.801962270997073,-51.98684233002721
350920,3509205.0,CAJAMAR,-23.351473694985234,-46.87200891957303
350925,3509254.0,CAJATI,-24.77198946611262,-48.19498691383894
350930,3509304.0,CAJOBI,-20.873702588926736,-48.83872883641525
350940,3509403.0,CAJURU,-21.27596108697353,-47.310287504709144
350945,3509452.0,CAMPINA DO MONTE ALEGRE,-23.606780466391292,-48.44191044980152
350950,3509502.0,CAMPINAS,-22.883754630939976,-47.043850498122055
350960,3509601.0,CAMPO LIMPO PAULISTA,-23.217951580625055,-46.76009281505825
350970,3509700.0,CAMPOS DO JORDÃO,-22.70161979318858,-45.533023837341396
350980,3509809.0,CAMPOS NOVOS PAULISTA,-22.610893101665766,-50.010210177207135
350990,3509908.0,CANANÉIA,-25.018431479144603,-48.008580898997096
350995,3509957.0,CANAS,-22.730173391253047,-45.04111899728814
351000,3510005.0,CÂNDIDO MOTA,-22.80862114964183,-50.42170457364727
351010,3510104.0,CÂNDIDO RODRIGUES,-21.342822589557773,-48.628661661038876
351015,3510153.0,CANITAR,-23.018821695792536,-49.7919152366654
351020,3510203.0,CAPÃO BONITO,-24.039208368179967,-48.28985753695051
351030,3510302.0,CAPELA DO ALTO,-23.467436351838533,-47.730999954042
351040,3510401.0,CAPIVARI,-22.980708116594627,-47.47803609851957
351050,3510500.0,CARAGUATATUBA,-23.63962434351871,-45.48787006079076
351060,3510609.0,CARAPICUÍBA,-23.55004027228612,-46.84196305013447
351070,3510708.0,CARDOSO,-20.067187732303893,-49.947507363667185
351080,3510807.0,CASA BRANCA,-21.800531783032145,-47.088138314770994
351090,3510906.0,CÁSSIA DOS COQUEIROS,-21.263258585459745,-47.143974075461884
351100,3511003.0,CASTILHO,-20.89767944156598,-51.570240478037185
351110,3511102.0,CATANDUVA,-21.13375643758814,-48.963683810985856
351120,3511201.0,CATIGUÁ,-21.062806751199602,-49.05275422355262
351130,3511300.0,CEDRAL,-20.913954584470243,-49.26399518890919
351140,3511409.0,CERQUEIRA CÉSAR,-23.059330898823916,-49.14378375118862
